id,name,alias,cover,categories,directors,actors,score,dramma,regions,published_at,minute
30,上帝之城,Cidade de Deus,https://p1.meituan.net/movie/b553d13f30100db731ab6cf45668e52d94703.jpg@464w_644h_1e_1c,剧情;犯罪,卡迪亚·兰德;费尔南多·梅里尔斯,亚历桑德雷·罗德里格斯;艾莉丝·布拉加;莱安德鲁·菲尔米诺;索·豪黑;道格拉斯·席尔瓦;乔纳森·哈根森;菲利佩·哈根森;Emerson Gomes;Marcello Melo Junior;Márcio Costa;Erick Oliveira;Marcos Coutinho;Marcello Costa;Guti Fraga;Edward Boggiss Lustosa;Adão dos Santos Thiago;Denise Fonseca;Júlio César Siqueira;Waldeck Roque;Wagner Mello;Ricardo Rocha da Silva;Ricardo Lira;Maurício Figueiras;Marcos Viana;Marcelo Araújo;Marcelo António Santos;巴布·桑塔纳;Mary Sheila;Sérgio Chapelin;Tulé Peak;克里斯蒂安·杜沃特;Olivia Araújo;Gil Torres;保罗·林斯;Rosangela Rodrigues;Jota Farias;João Soares;Rafael Fontenele;Leo Generoso;Wallace Nascimento;Wallace Araújo;Wellington Costa Ricardo;Wanderson 'Petão' Lopes;Yuri Krushewsky;Wemerson Gonçalves;Arlindo Lopes;Anderson Faria;Leiz Moreira;Luis Carlos Oliveira;Leonardo Melo;Marcello 'Máscara' Alves;马塞罗·梅罗;Pierre dos Santos;赫南·芒特伊罗;Vinicius Faria;Delano Valentim;Ed Money;Fabiano Gonçalves;Felipe Porto;Francisco Marcos;Carol Meirelles;Carlos 'Lencinho' Smith;Christiano;Diego Mendes;Jéssica da Silva;Luciana Roque;Marina Mandonça Pinheiro;Michele Gonçalves;Otto Amorim;Omar 'Mazinho' Barcelos;Nelson Amaral;Mário Luiz Costa Oliveira;Rómulo 'Guinomo' Sech;Roberto Miguez;Rafael de Souza;Peter Soares;Luís Nascimento;Luis Carlos Rodrigues Oliveira;Lúcio Andrey;Eduardo 'BR' Piranha;Fábio 'Dog' da Cunha;Charles Samuel;Éder Júlio Martins;Guilherme Estevam;Guilherme William;Felipe Villela Mendonça;Frederico Lins;Alex dos Santos;Anderson Bruno Marques;Ruy Vitório;Sérgio Bispo;Antoni Guedes;Bruno Ricardo;Anderson Lugão;André Luiz Mendes;Leandro Gonçalves;Harlem Teixeira;Leandro Lima;Leandro Lucas;Jonas Michel;John Lima;Ivan Martins;Leandro Dias Batista;Euclides Garcia;Damião Firmino;Felipe Nogueira;Fábio Castor Conceição;Carlos Henrique Avernas;Bartolomeu Braga;Cleiton Ventura;Cláudio César;丹尼尔·泽托;Bernardo Santos;Diego Batista;Diego Ferreira;Marcio Vinicios;查尔斯·帕拉文蒂;Luiz Carlos Ribeiro Seixas;Paulo 'Jacaré' César;Danielle Ornelas;Alexandre 'China' Tavares;Alexander Cerqueira;António Rodrigues;André Pires Martins;Rafael de Castro;米卡埃尔·波尔格斯;Thiago Wallace;Ramon Francisco;马修斯·纳克加勒;Luis Otávio;罗伯塔·罗德里格斯;Michel de Souza;Edson Oliveira;Jefechander Suplino;Renato de Souza;Graziela Moretto;Leandra Miranda;Robson Rocha;Darlan Cunha;Gustavo Engracia;Maurício Marques;Edson Montenegro;Gero Camilo;Felipe Silva;Karina Falcão;Sabrina Rosa;Rubens Sabino;Marcos 'Kikito' Junqueira;蒂亚戈·马丁斯;Wendel Barros;Edward Boggiss;Adão Xalebaradã,8.8,,巴西;法国,,130
71,当幸福来敲门,The Pursuit of Happyness,https://p1.meituan.net/movie/7d1d85610651dbe1c8687781a87d1008184950.jpg@464w_644h_1e_1c,剧情;家庭;传记,加布里埃莱·穆奇诺,威尔·史密斯;贾登·史密斯;坦迪·牛顿;布莱恩·豪威;詹姆斯·卡伦;丹·卡斯泰兰尼塔;柯特·富勒;塔卡尤·费舍尔;凯文·韦斯特;乔治·张;戴维·迈克尔·西尔弗曼;多米尼克·博夫;杰弗·卡伦;乔伊芙·拉文;斯科特·克拉斯;拉希达·克伦迪宁;Eric Schniewind;Peter Fitzsimmons;Maurice Sherbanee;维克托·莱德·维斯勒;马克·克里斯托弗·劳伦斯;Darryl Fong;乔治·马奎尔;乔·努内斯;亚当·德尔·里奥;Rocky LaRochelle;Reuben Grundy;Lo Ming;John Kovacevich;Bonnie Akimoto;Stu Klitsner;Tina D'Elia;塞西尔·威廉斯;大卫·芬恩;George Moffatt;阿米尔·塔莱;Mike Garibaldi;Jason Frazier;凯文·克鲁克;David Haines;James Finnerty;Abigail Van Alyn;Bob Greene;Robert Anthony Peters;Terri Orth-Pallavicini;John Robb;Daniel Wilder!;Cathy Fithian;Keith Stevenson;Jeff Applebaum;Victor Hoagland;Richard Bischoff;Edward Donlin;Larry Hunt;Rose Aispuro;Arbin C. Kumar;大卫·皮尔;Jerry Edward McLilly;Shareef Allman;Jeffrey Moon;Peaches Hutchinson;Brandon Deadwiler;Tateanna Wheeler-Lezine;Karen Kahn;Benjamin Fritz;David Hodges;Shawn Kresal;多恩·安德鲁·西蒙斯;莫莉·塞拉斯基;Kimberly Contreras;Ryan Else;Travis Fields;克里斯·加德纳;约翰·帕特里克·舒拉克;艾丽莎·安德瑞格;Erin Cahill;Regina Antoinette;扎克·布拉夫;Doug Campbell;里克·坎普;Brad Carr;詹姆斯·科纳;亚历山大·库科尔;扎卡里·卡伯森;Yeena Lopez;加瑞特·法贝斯;Daryl Anthony Harper;David Kiiskinen;Tyler MacNiven;Steve Potts;Rob 'Captain Rob' Robinson;塞雷娜·锡德;威廉·保罗·史密斯;亚当·王;Cindy Warner;The Glide Ensemble;Martin Andris;菲尔·奥斯汀;Stefano Capone;Elise Angell;Ben Fritz;Steven Lindo;Zuhair Haddad;伊斯特·斯高特;Cabran E. Chamberlain;Bill Dietz;Brendan Kruse;马克·拉维尔;Tommy Maples;Phil Talsky;罗明;戴维·阿伦·霍奇斯;Rueben Grundy,8.9,,美国,2008-01-17,117
21,黄金三镖客,Il buono, il brutto, il cattivo.,https://p0.meituan.net/movie/cd18ed2c5cda9e71e17e5e6ef61ced172912303.jpg@464w_644h_1e_1c,西部;冒险,赛尔乔·莱翁内,克林特·伊斯特伍德;李·范·克里夫;埃里·瓦拉赫;路易吉·皮斯蒂利;Claudio Scarchilli;John Bartha;Livio Lorenzon;贝尼托·斯特凡内利;Angelo Novi;安东尼奥·卡萨斯;阿尔多·桑布雷利;Al Mulock;Sergio Mendizábal;Antonio Molino Rojo;Lorenzo Robledo;马里奥·布雷加;弗兰克·布拉尼亚;Luigi Ciavarro;Jesús Guzmán;Víctor Israel;纳扎雷诺·纳塔莱;Ricardo Palacios;Romano Puppo;Antonio Ruiz;Román Ariznavarreta;José Terrón;Saturno Cerra;Enrique Santiago;Fortunato Arena;阿蒂利奥·罗戴德约;Veriano Genesi;阿尔多·久弗瑞;Rada Rassimov;Enzo Petito;Antonio Casale;Sandro Scarchilli;切诺·阿隆索;William Conroy;Aysanoa Runachagua;Franco Doria;Amerigo Castrighella;Tony Di Mitri,9.1,,意大利;西班牙;西德,1966-12-23,161
53,蝙蝠侠：黑暗骑士崛起,The Dark Knight Rises,https://p0.meituan.net/movie/f7f4b4099773268f8290ed033f49dc01377512.jpg@464w_644h_1e_1c,剧情;动作;科幻;惊悚;犯罪,克里斯托弗·诺兰,克里斯蒂安·贝尔;迈克尔·凯恩;加里·奥德曼;安妮·海瑟薇;汤姆·哈迪;约瑟夫·高登-莱维特;摩根·弗里曼;玛丽昂·歌迪亚;连姆·尼森;艾丹·吉伦;朱诺·坦普尔;丹尼尔·逊亚塔;乔什·斯图沃特;马修·莫迪恩;乔伊·金;内斯特·卡博内尔;克里斯托弗·加吉;雷吉·李;阿拉米斯·奈特;布莱特·卡伦;本·门德尔森;乔什·平茨;伯恩·戈曼;托马斯·阿拉纳;伊恩·鲍汉;汤姆·康蒂;克莱尔·阿莉丝·朱利安;吉利安·阿美娜特;迈克尔·帕帕约翰;克里斯·埃里斯;大卫·莫纳汉;约瑟夫·莱尔·泰勒;阿隆·阿布布尔;特雷弗·怀特;罗尼·吉恩·贝尔维斯;克里斯·塞林斯;格伦·鲍威尔;马西·弗伦;Greg Bennett;戴娜·格里菲思;易莱哲·伯克;Ian Mackay;布兰登·惠特尼;Sam Kennard;Michael Gucciardo;Steven Vigil;Nial Nelson-Hopkins;Gabe Mendez;Ty Kunzelman;Richard Stephens;Lalaine Fabi;Matthew Zalenski;Eric Kazen;约瑟夫M·阿尔伯特;伊塞亚·亚当斯;Lucia M. Aguirre;Tony Alameda;Chris Albright;Charlie Alejandro;Tony Amen;James Avise;Grant Babbitt;费丽娜·巴瑞丝;David Nathie Barnes;约瑟夫·巴西莱;Tiffany Bell;Aldo Bigante;Brandon Blackwell;James Blankenfeld;瑞克·博兰德;Johnathan Bowen;凯尔·帕特里克·布伦南;布兰特·布里斯科;Corey Brown;Graham Brown;Star Bunner;Steven Butros;Frank Caccamo;约翰·卡什;As Katja Mehlhorn Catya Maré;Scott Churchson;Matt Cipro;Ryan Clark;Carl Clemons;Willie Colon;Daniel R Cooper;Bill Cowher;帕特里克·考克斯;Scot Cregan;Ruben Dario Cruz II;Gioacchino Jim Cuffaro;Christopher James Cullen;Michael Didriksson;Marvin Duerkholz;托尼·埃利斯;Jonn Faircrest;史蒂夫·凡蒂尼;托马斯·图尔;Jon Macmilla;Kevin Kiely;帕特里克·乔丹;Rey Goyos;Darryl Reeves;Michael James Faradie;Anthony Farraj;约翰·法瑞尔;James Farrior;弗兰克·法达;拉什·费加;Susan Feldbusch;凯尔文·菲利克斯;大卫·达耶·费舍尔;Justin Fortmeier;乌瑞·加夫利尔;加里·吉布斯;索菲亚·吉尔贝托;萨拉·古德伯格;克里斯托弗·布莱恩;马修·古利;Michael Grand;Vito Grassi;Ryan Green;菲利普·詹姆斯·格里非斯;Kevin Gurnari;Casey Hampton;Sam Harris;Greg Hart;埃德·哈维;杜安·亨利;David Higdon;John W. Iwanonkiw;柯蒂斯·杰梅因;Edgar Jimz;Stephen T. Johnson;乔·凯恩;威廉·卡尼亚;蒂凡妮·坎普;大卫·达斯汀·凯尼恩;Sun Jae Kim;Sharyn Kmieciak;Zackary Kresser;伊兰·克里斯费尔德;艾利克斯·克鲁兹;夏农·拉尼尔;Joshua Lassman;Robert Leckington;弗瑞德里克·林恩;LeJon;Paul Jude Letersky;Joe Lipari;Silvia Lombardo;约翰·曼奇尼;Max Mangel;Dan Marcus;Jorge Mardel;London May;Mike J. McAllister;Orion McCabe;Sean P. McCarthy;David Dale McCue;Kyle McGrath;蒂凡妮·桑德尔·麦肯兹;兰德尔·麦克尼尔;艾伦·梅里特;Heath Miller;奥兰·蒙哥马利;杰瑞米·穆恩;艾莉克丝摩尔;Julie Mun;米兰达·诺兰;Shane Nolan;Jackson Nunn;Joseph O'Brien;Shaun O'Donnell;Michael O'Neill;Salomon Passariello;Andres Perez-Molina;史帝夫·派瑞;亚当·皮亚森特;欧内斯特·皮尔斯;Kyle David Pierce;David Michael Plowman;特洛伊·波拉马鲁;Maurkice Pouncey;Michael Power;赖恩·普雷姆斯伯格;迪索·拉莫斯;Jake Ramos;詹姆斯·罗林斯;乔舒亚·里斯;Joseph Rittenhouse;Shindo Ki Rodriguez;Ben Roethlisberger;埃克托·阿特雷宇·鲁伊兹;Tyler Rumsey;艾伦·萨吉尼亚;Eric Salazar;Greg Sammis;Zachary Scheer;Emily Schooley;Chris Sciacco;加里·西沃斯;Aaron Smith;Eric Smith;Ken Spassione;Blake Steigerwald;Franz Strassmann;汤姆·斯特拉瑟斯;Kevin Tanski;Adam Teper;Sami Tesfay;Matthew Thane;Gualberto Del Toro;Craig Usiak;克里斯·威纳;Michelle Vezzani;芭芭拉·文森特;Mike Wallace;海因斯·沃德;迈克尔·沃特金斯;Christopher Watts;詹姆斯·威乐;杰森·惠特克;Nickolas Wiegand;余胜豪;米切尔·叶;Maria Zambrana;John Zion;Alex Ziwak;Rafael Zubizarreta Jr.;Aliash Tepina;Nick Julian;Tyler Dean Flores;詹姆斯·哈尔维·瓦德;冈萨洛·门内德斯;卡梅伦·杰克;Alexis Daniel;托马斯·列农;罗伯·布朗;考特尼·芒奇;Chris Hill;Travis Guba;Jay Benedict;威尔·埃斯蒂斯;本·科尼什;约翰·诺兰;奥利弗·科顿;马克·基林;罗伯特·维斯多姆;约翰·霍林沃思;诺尔·古格雷米;Max Schuler;威廉姆·德瓦内;Harry Coles;基里安·墨菲;大卫·吉亚西;戴斯蒙德·哈灵顿;Mychael Bates;Rory Nolan;皮特·霍尔登;艾捷拉·埃文斯;Aldous Davidson;韦德·威廉姆斯;Antwan Lewis;Jake Canuso;英迪娅·沃兹沃思;丹尼尔·纽曼;沃伦·布朗;Luke Rutherford;Phillip Browne;Charles Jackson Coyne;帕特里克莱希;托德·格哈特;拉塞尔·巴洛格;Ryan C. Bogdewic;Timothy Butts;Shawn Farrell;Luke Oscar Ford;Gregory Gillaspie;Frank Hansen;Quillian Hightower;Bryan Lee;Jack Mahrt;Catya Maré;Mark Perrone;Kirsten Roeters;Barak Shpiez;劳伦斯·怀特讷;克莱尔·茱莉安;约翰·麦克米兰;Lex Daniel;Joshua Elijah Reese;Kevin Kiely Jnr,8.9,,美国;英国,2012-08-27,165
79,忠犬八公的故事,Hachi: A Dog's Tale,https://p0.meituan.net/movie/5f0a709378d6b567807aa9685610f818282136.jpg@464w_644h_1e_1c,剧情,拉斯·霍尔斯道姆,Forest;理查·基尔;琼·艾伦;田川洋行;萨拉·罗默尔;杰森·亚历山大;艾瑞克·阿瓦利;达文尼亚·麦克法登;罗比·萨布莱特;凯文·德科斯泰;Rob Degnan;托拉·霍斯特洛姆;唐娜·索贝洛;Frank S. Aronson;特洛伊·多尔蒂;伊恩·谢尔曼;蒂莫西·克罗;Denece Ryland;贝茨·怀尔德;布莱克·弗里德曼;丹尼尔·柯比;罗伊·苏萨;Rich Tretheway;Thomas Tynell;Patrick Mel Hayes;Desiree April Connolly;Ellen Becker-Gray;Raymond Alongi;Edward L. Papazian;亚美利哥·普雷休蒂;Rich Skinner;罗伯特·卡普荣;Michael Kelly;摩根·奥布莱恩;马丁·蒙塔纳;文森特J.恩肖;Donald Warnock;Ben Skinner;Gloria Crist;奥斯卡J·卡斯蒂罗;Joanne Fanara;加里·罗斯科;Adam Masnyk;Luke Allard;肖恩·法雷尔;Gail Bugeja;Albert Gornie;伊丽莎白·弗里曼;Timothy Crowe,8.9,,美国;英国,2009-06-13,93
11,V字仇杀队,V for Vendetta,https://p1.meituan.net/movie/06ec3c1c647942b1e40bca84036014e9490863.jpg@464w_644h_1e_1c,剧情;动作;科幻;惊悚,詹姆斯·麦克特格;詹姆斯·麦克提格,娜塔莉·波特曼;雨果·维文;斯蒂芬·瑞;斯蒂芬·弗雷;约翰·赫特;蒂姆·皮戈特-史密斯;拉珀特·格雷夫斯;罗杰·阿拉姆;本·迈尔斯;西妮德·库萨克;娜塔莎·怀特曼;约翰·斯坦丁;埃迪·马森;克里夫·阿什伯恩;Emma Field-Rayner;伊安·布尔费尔德;Mark Phoenix;Alister Mazzotti;比莉·库克;盖伊·亨利;科斯马·肖;梅根·盖伊;Roderic Culver;Tara Hacking;安迪·莱什利兹;查德·斯塔赫斯基;安特耶·劳;Amelda Brown;理查德·坎贝尔;帕特里莎·加农;马克·朗赫斯特;西蒙·霍尔姆斯;查尔斯·科克;约翰·瑞汉姆;奥利弗·布拉德肖;Jack Schouten;Caoimhe Murdock;朱丽叶·霍兰德;布林·罗瑟;拉菲·帕特里克·伯切尔;约瑟夫·雷耶;Adrian Finighan;马尔科姆·辛克莱;拉德利·史蒂夫·福特;马德琳·拉基克-普拉特;塞丽娜·贾尔斯;卡斯腾·海斯;德里克·哈金森;马丁·萨维奇;格兰特·布尔金;格里高利·唐纳森;伊莫琴·普茨;杰森·格里菲斯;Kyra Meyer;劳拉·格林伍德;保罗·安东尼-巴博;Anna Farnworth;玛丽·萧克莱;Simon Newby;David Merheb;丹尼尔·唐纳森;Dulcie Smart;本·波泽纳;伊恩·T·迪金森;Sophia New;朱莉·布朗;Gerard Gilroy;Eamon Geoghegan;马修·贝茨;大卫·雷奇;马特·威尔金森;马丁·麦克格雷德;理查德·莱恩;Michael Simkins;威廉·塔普利;Edsel Kragg;托尼·库克;Gordon Gram;乔纳斯·冯·林根;若昂·科斯塔·梅内塞斯;Jason Oettle;克里斯托弗·威尔森;安迪·卡拉汉;基斯·豪;David Decio;Nicolas de Pruyssenaere;彼得·莱德;沃尔夫冈·施特格曼;Norman Campbell Rees;马迪斯·兰德维尔;克里斯托弗·福什;David Hood;罗根·格兰特;Forbes KB;布拉德利·斯蒂夫·福特;Greg Donaldson,8.9,,美国;英国;德国,2005-12-11,132
12,少年派的奇幻漂流,Life of Pi,https://p0.meituan.net/movie/34998e31c6d07475f1add6b8b16fd21d192579.jpg@464w_644h_1e_1c,剧情;奇幻;冒险,李安,苏拉·沙玛;伊尔凡·可汗;塔布;拉菲·斯波;阿尤什·坦东;加塔姆·贝鲁尔;阿迪勒·侯赛因;阿伊·可汗;穆德·阿巴斯·卡勒里;维比什·希瓦库玛;热拉尔·德帕迪约;詹姆斯·塞托;俊·奈托;安德里亚·迪·斯戴法诺;沙拉万提·塞纳特;埃利·阿鲁夫;帕德米尼·拉姆康托;T·M·卡西克·司瑞尼瓦莎;阿玛伦·瑞米南;哈里·米那·巴拉;王柏杰;柯一正;黄健玮;拉维·纳塔森;艾德亚特·巴拉吉;基拉格·奥格沃;阿罕·安德烈·卡玛斯;欧姆·卡玛斯;斯瑞莱克·卡塔;沙瓦提·范·拉斯维克;M.吉尔萨那;英多莫汗·普尔尼玛;约瑟夫·尼西亚·B;沙姆克莎·S;A·戴娃·桑德里;G·瓦萨塔库马里;A·韦斯亚;马西里·普拉卡什;拉杰·帕特尔;哈迪西亚·哈米德;伊斯沃尔·撒里库玛;阿彦·汗;T.M. Karthik,8.9,,美国;中国台湾;英国;加拿大,2012-11-22,127
75,疯狂原始人,The Croods,https://p1.meituan.net/movie/bc022b86345c643ca21d759166f77a553679589.jpg@464w_644h_1e_1c,喜剧;动画;冒险,柯克·德·米科;克里斯·桑德斯,尼古拉斯·凯奇;艾玛·斯通;瑞安·雷诺兹;凯瑟琳·基纳;克萝丽丝·利奇曼;克拉克·杜克;兰迪·汤姆;梁家辉;范晓萱;黄晓明;克里斯·桑德斯,8.9,,美国,2013-04-20,98
51,哈利·波特与死亡圣器（下）,Harry Potter and the Deathly Hallows: Part 2,https://p1.meituan.net/movie/bb0eca029cd25329776a4549b3fbe262924727.jpg@464w_644h_1e_1c,剧情;悬疑;奇幻;冒险,大卫·叶茨,丹尼尔·雷德克里夫;鲁伯特·格林特;艾玛·沃特森;拉尔夫·费因斯;艾伦·瑞克曼;马修·刘易斯;汤姆·费尔顿;迈克尔·刚本;伊文娜·林奇;沃维克·戴维斯;詹森·艾萨克;海伦娜·伯翰·卡特;玛吉·史密斯;邦妮·怀特;大卫·休里斯;塞伦·希德;朱丽·沃特斯;乔治·哈里斯;凯莉·麦克唐纳;海伦·麦克洛瑞;约翰·赫特;Ian Peck;本杰明·劳斯欧弗;赫柏·贝尔德索尔;多姆纳尔·格里森;戴文·穆雷;杰西·卡芙;艾芙珊·阿扎德;伊莎贝拉·拉夫兰德;安娜·谢弗;乔治娜·雷尼达斯;弗雷迪·史卓玛;阿尔弗雷德·伊诺奇;梁佩诗;威廉姆·麦灵;Sian Grace Phillips;拉尔夫·尹爱森;Suzanne Toase;Graham Duff;吉姆·布劳德本特;斯嘉丽·伯恩;约书亚·赫德曼;Louis Cordice;Amber Evans;Ruby Evans;米瑞安·玛格莱斯;盖玛·琼斯;Jon Key;克蕾曼丝·波西;Anthony Allgood;鲁斯迪·戈夫;马克·威廉姆斯;詹姆斯·菲尔浦斯;奥利弗·费尔普斯;克里斯·兰金;大卫·布拉德利;盖伊·亨利;尼克·莫兰;娜塔丽·特纳;Philip Wright;Gary Sayer;Tony Adkins;大卫·勒格诺;Penelope McGhie;艾玛·汤普森;艾莉·达塞·阿登;Ariella Paradise;本尼迪特·卡拉克;莱斯利·菲利普斯;罗比·贾维斯;Rohan Gotobed;杰拉丁·萨莫维尔;阿德里安·劳林斯;Toby Papworth;罗彼·考特拉尼;加里·奥德曼;Peter G. Reed;Judith Sharp;埃米尔奥斯迪那;Bob Yves Van Hellenberg Hubar;Granville Saxton;Tony Kirwood;阿什利·马克圭尔;亚瑟·博文;Daphne de Beistegui;Will Dunn;Jade Gordon;博迪·吉尔伯特;Helena Barlow;肖恩·比格斯代夫;杰米·坎贝尔·鲍尔;卢克·纽伯里;Paul Davies;蒂莫西·斯波;瑞恩·特纳;本·诺斯弗德;乔恩·坎普林;乔什·赫德曼;Mark Williams;Phil Wright,8.9,,英国;美国,2011-08-04,130
73,十二怒汉,12 Angry Men,https://p0.meituan.net/movie/df15efd261060d3094a73ef679888d4f238149.jpg@464w_644h_1e_1c,剧情,西德尼·吕美特,亨利·方达;李·科布;马丁·鲍尔萨姆;杰克·瓦尔登;埃德·贝格利;约翰·菲德勒;杰克·克卢格曼;艾德·宾斯;约瑟夫·史威尼;乔治·沃斯科维奇;罗伯特·韦伯;鲁迪·邦德;James Kelly;Bill Nelson;John Savoca;E.G.马绍尔;尼基塔·米哈尔科夫;谢尔盖·加尔马什;阿列克谢·彼得连科;尤里·斯托亚诺夫;谢尔盖·加扎罗夫;米哈伊尔·叶夫列莫夫;罗曼·马佳诺夫,8.9,,美国,1957-04-13,96
